TUDNIVALÓK	TUDNI+VALÓ(K)
nagyságának	nagyságának
időtartamának	idő+tartam(ának)
emelésével	emelésével
kórelőzményében	kór+előzmény(ében)
alkohol	alkohol
gyógyszerfüggőség	gyógyszer+függőség
szerepel	szerepel
hatékonyság	hatékonyság
tüneteik	tüneteik
pontszáma	pont+szám(a)
Kaposi-	Kaposi-
szarkóma	szarkóma
bleomicin/	bleomicin/
vinkrisztin	vinkrisztin
referencia	referencia
protokollal	protokollal
összevető	összevető
Caelyxszel	Caelyxszel
regisztráltak	regisztráltak
opportunista	opportunista
fertőzéseket	fertőzéseket
dózisfüggő	dózis+függ|ő
celekoxib	celekoxib
Janssen-	Janssen-
International	International
Turnhoutseweg	Turnhoutseweg
Belgium	Belgium
Panretin?	Panretin?
Latvija	Latvija
kockázatcsökkenést	kockázat+csökkenés(t)
összetett	összetett
végpontot	vég+pont(ot)
tekintetében	tekintetében
Kereskedel	Kereskedel
Antimycobacterialis	Antimycobacterialis
Preotact	Preotact
újonnan	újonnan
csigolyatörések	csigolya+törés(ek)
hónapra	hónapra
betegekhez	betegekhez
TERÁPIÁS	TERÁPIÁS
CSOMAGRA	CSOMAGRA
VONATKOZIK	VONATKOZIK
Közbülső	Közbülső
ételekkel	ételekkel
italokkal	italokkal
befolyásolják	befolyásolják
temszirolimusszal	temszirolimusszal
foszfolipidózis	foszfolipidózis
temszirolimusz	temszirolimusz
együttadása	együtt+adás(a)
amphiphilikus	amphiphilikus
hatóanyagokkal	hat|ó+anyag(okkal)
amiodaron	amiodaron
sztatinok	sztatinok
megnövelheti	megnövelheti
pulmonáris	pulmonáris
kockázatát	kockázatát
csökkenését	csökkenését
CIPROBAY	CIPROBAY
hyperkalaemiát	hyperkalaemiát
vizsgálata	vizsgálata
szarvasmarha	szarvas+marha
MENITORIX-	MENITORIX-
ellenőrzi	ellenőrzi
kialakulását	kialakulását
hereelégtelenségben	here+elégtelenség(ben)
Nederland	Nederland
Servier	Servier
Rebetol	Rebetol
interferon	interferon
kombinációja	kombinációja
következőket	következőket
okozhatja	okozhatja
azonosítottak	azonosítottak
metabolitokat	metabolitokat
aktivitás	aktivitás
szubsztitúciós	szubsztitúciós
állapotokhoz	állapotokhoz
CYMBALTA-	CYMBALTA-
alkalmaznak	alkalmaznak
társulhat	társulhat
öngyilkossággal	ön+gyilkosság(gal)
befecskendezésnek	befecskendezésnek
szubkután	szubkután
injekciónak	injekciónak
nevezik	nevezik
Mixtard	Mixtard
NovoLet	NovoLet
betegeknek	betegeknek
koleszterincsökkentő	koleszterin+csökkent|ő
megkezdeniük	megkezdeniük
folytatniuk	folytatniuk
szakaszból	szakaszból
Kezdeti	Kezdeti
ekulizumab	ekulizumab
hetében	hetében
Fenntartó	fenn+tart|ó
pramipexol	pramipexol
terhelésnek	terhelésnek
állapotát	állapotát
követni	követni
laboratóriumi	laboratóriumi
figyelmesen	figyelmesen
utasításokat	utasításokat
koraszülötteknél	kora+szülött(eknél)
NeoRecormon	NeoRecormon
transzfúziót	transzfúziót
Băneasa	Băneasa
MAGUNKNAK	MAGUNKNAK
PEGASYS	PEGASYS
INJEKCIÓT?	INJEKCIÓT?
PORCILIS	PORCILIS
PORCOLI	PORCOLI
DILUVAC	DILUVAC
egység/	egység/
Glargin	Glargin
CellCepttel	CellCepttel
legsúlyosabb	legsúlyosabb
kockázat	kockázat
rákbetegség	rák+betegség
lymphoma	lymphoma
hozatalát?	hozatalát?
Sikertelen	Sikertelen
használó	használó
Hidroklorotiazid	Hidroklorotiazid
monoterápia	mono+terápia
ismeretlen	ismeretlen
gyakoriságú	gyakoriságú
észlelték	észlelték
PREZISTA	PREZISTA
ritonavir	ritonavir
háromhetes	három+hÉt|es
kezelésből	kezelésből
hathetes	hat+hÉt|es
kezelésmentes	kezelés+mentes
tartályba	tartályba
vildagliptin	vildagliptin
metabolikus	metabolikus
várhatóan	várhatóan
inhibitor	inhibitor
induktor	induktor
palivizumab	palivizumab
feloldást	feloldást
elkészítéséhez	elkészítéséhez
módosítására	módosítására
középsúlyos	közép+súly|os
májbetegségben	máj+betegség(ben)
kattanó	kattanó
hallani	hallani
inhalációs	inhalációs
készülék	készülék
nyújtva	nyújtva
testsúlytól	test+súly(tól)
Eloszlás	Eloszlás
montelukaszt	montelukaszt
kötődik	kötődik
Felnőtteknek	Felnőtteknek
TORISEL	TORISEL
gyógyszerré	gyógyszerré
minősítésével	minősítésével
dokumentáció	dokumentáció
elolvasható	elolvasható
felnőttekben	felnőttekben
szedtek	szedtek
személyek	személyek
megerősítették	megerősítették
faltkartonon	faltkartonon
Braille	Braille
írással	írással
tapintható	tapintható
olvasható	olvasható
ÁLTALÁNOS	ÁLTALÁNOS
BESOROLÁSA	BESOROLÁSA
RENDELHETŐSÉG	RENDELHETŐSÉG
SZEMPONTJÁBÓL	SZEMPONTJÁBÓL
állapota	állapota
lehetővé	lehetővé
intravénásan	intravénásan
elkezdeni	elkezdeni
folyamatos	folyamatos
bekövetkezhet	bekövetkezhet
sejtfelszíni	sejt+felszín|i
kötődésen	kötődésen
endocytosis	endocytosis
Fertavidot	Fertavidot
Viracept	Viracept
antivirális	antivirális
hatásosabbnak	hatásosabbnak
összehasonlítás	összehasonlítás
alapját	alapját
gyógyszereknél	gyógyszereknél
dugattyúját	dugattyúját
ezáltal	ezáltal
feltöltődjön	feltöltődjön
holttere	holt+tÉr(e)
Brachyspira	Brachyspira
hyodysenteriae	hyodysenteriae
sertésdizentéria	sertés+dizentéria
állományokban	állományokban
betegséget	betegséget
diagnosztizálták	diagnosztizálták
Csecsemőknél	Csecsemőknél
serdülőknél	serdülőknél
nasopharyngitis	nasopharyngitis
influenza	influenza
felsőlégúti	felső+légút|i
megfelel	megfelel
beállítás	beállítás
csökkenés	csökkenés
kísérték	kísérték
hipotenziós	hipotenziós
Abseamed	Abseamed
Pravasztatin/	Pravasztatin/
Emtricitabin	Emtricitabin
Tenofovir-	Tenofovir-
dizoproxil	dizoproxil
fumarát	fumarát
Neoclaritynt	Neoclaritynt
Neoclarityn	Neoclarityn
belsőleges	belsőleges
amennyit	amennyit
bizsergő	bizsergő
légszomj	lég+szomj
viszketés	viszketés
hajhullás	haj+hullás
reszketés	reszketés
ízérzés	ízérzés
megváltozása	megváltozása
problémák	problémák
fordulnak	fordulnak
akiknek	akiknek
valamilyen	valamilyen
pszichés	pszichés
betegségük	betegségük
november	november
Cyanokitre	Cyanokitre
VIRBAGEN	VIRBAGEN
kutyáknak	kutyáknak
macskáknak	macskáknak
eredeti	eredeti
csomagolásban	csomagolásban
fénytől	fénytől
tartandó	tartandó
Paroxetine	Paroxetine
kezdhető	kezdhető
gyógyul	gyógyul
előzőekben	előzőekben
Avastin	Avastin
hónapról	hónapról
hosszabbította	hosszabbította
Celekoxib-	Celekoxib-
szubsztrát	szubsztrát
dextrametorfán	dextrametorfán
Indokolható	Indokolható
kérelmező	kérelmező
érvelés	érvelés
készítményeket	készítményeket
kontrollként	kontrollként
alkalmazta	alkalmazta
Feltétlenül	Feltétlenül
Betegtájékoztatóját	beteg+tájékoztató(ját)
mielőtt	mielőtt
elkezdi	elkezdi
Rebetollal	Rebetollal
adagolástól	adagolástól
OPATANOL	OPATANOL
ambriszentán	ambriszentán
kiválasztódását	kiválasztódását
anakinra	anakinra
meggátolja	meggátolja
válaszokat	válaszokat
prosztagladin	prosztagladin
indukcióját	indukcióját
synovialis	synovialis
fibroblastok	fibroblastok
chondrocyták	chondrocyták
kollagenáztermelést	kollagenáz+termelés(t)
semmilyen	semmilyen
eseményt	eseményt
Gyűjtse	Gyűjtse
helyezze	helyezze
felületre	felületre
eszközöket	eszközöket
Comtess	Comtess
számára	számára
biztonságosságra	biztonságosságra
hatásosságra	hatásosságra
gemcitabint	gemcitabint
thrombocyta	thrombocyta
leukocyta	leukocyta
granulocytaszámot	granulocytaszámot
ujjainak	ujjainak
zsibbadása	zsibbadása
homályos	homályos
egységcsomagban	egység+csomag(ban)
porüveg	porüveg
egységeket	egységeket
feltüntető	feltüntető
osztásokkal	osztásokkal
eldobható	eldobható
Csökkenti	Csökkenti
transzfúzió	transzfúzió
koraszülött	kor|a+szülött
csecsemőknél	csecsemőknél
kemoterápiában	kemo+terápiÁ(ban)
részesülő	részesülő
rákbetegeknél	rák+beteg(eknél)
Binocrit	Binocrit
megegyeznek	megegyeznek
korábbi	korábbi
retrospektív	retrospektív
eredményeivel	eredményeivel
megfontolandó	megfontolandó
szildenafilt	szildenafilt
szednek	szednek
mérsékelten	mérsékelten
gátlószerek	gátló+szer(ek)
eritromicin	eritromicin
szakvinavir	szakvinavir
blokkolókat	blokkolókat
érzékenyebbek	érzékenyebbek
fertőzésekre	fertőzésekre
időtartamát	idő+tartam(át)
Rapamune	Rapamune
képzettséggel	képzettséggel
transzplantációs	transzplantációs
szakorvos	szak+orvos
kezdheti	kezdheti
irányításával	irányításával
folytatható	folytatható
Valtropint?	Valtropint?
fogyasztásra	fogyasztásra
termelő	termelő
teheneknek	teheneknek
önkénteseknek	önkénteseknek
dabigatrán	dabigatrán
farmakokinetikai	farmakokinetikai
profilját	profilját
jellemzi	jellemzi
kialakul	kialakul
bevételt	bevételt
meglévő	meglévő
cardiovascularis	cardiovascularis
megbetegedésben	megbetegedésben
szakirodalomban	szak+irodalom(ban)
systolés	systolés
diastolés	diastolés
pulmonalis	pulmonalis
artériás	artériás
vascularis	vascularis
ellenállás	ellenállás
csökkenéséről	csökkenéséről
SPRYCEL-	SPRYCEL-
írhatja	írhatja
leukémia	leukémia
becsült	becsült
eloszlási	eloszlási
térfogat	tér+fogat
diszgeúzia	diszgeúzia
súlyossá	súlyossá
betegtájékoztatóban	beteg+tájékoztató(ban)
mellékhatásokon	mellék+hatás(okon)
tünetet	tünetet
értesítse	értesítse
orvosát	orvosát
gyógyszerészét	gyógyszerészét
hatóanyagával	ható+anyag(ával)
segédanyagával	segéd+anyag(ával)
szembeni	szembeni
Szervrendszerenkénti	szerv+rendszer(enkénti)
csoportosítás	csoportosítás
veseműködés	vese+működés
csúcskoncentrációról	csúcs+koncentráció(ról)
eliminációs	eliminációs
bifázisosan	bifázisosan
üvegpalack	üveg+palack
polipropilén	polipropilén
gyermekbiztonsági	gyermek+biztonság|i
zárókupakkal	zár|ó+kupak(kal)
Revatio	Revatio
foszfodieszteráz-	foszfodieszteráz-
gyógyszercsaládjának	gyógyszer+család(jának)
InductOs-	InductOs-
felhasználást	felhasználást
elkészíteni	elkészíteni
összetevőt	összetevőt
készletből	készletből
Tekintettel	Tekintettel
felvett	felvett
erőteljes	erő+teljes
figyelmeztetésekre	figyelmeztetésekre
ajánlják	ajánlják
ellenőrzését	ellen+őrzés(ét)
egyetértés	egyet+értés
született	született
tekintetben	tekintetben
hipertóniára	hipertóniára
liofilizált	liofilizált
MiniSpike	MiniSpike
rendszert	rend+szer(t)
Prandin	Prandin
Elaprase?	Elaprase?
összetevők	összetevők
erlotinib	erlotinib
valamelyik	valamelyik
oldallánc	oldal+lánc
demetilációja	demetilációja
keletkeznek	keletkeznek
erlotinibéhez	erlotinibéhez
hatásosságot	hatásosságot
mutattak	mutattak
modellekben	modellekben
Mobilat	Mobilat
METALYSE	METALYSE
véletlenül	véletlenül
következményekkel	következményekkel
Boehringer-	Boehringer-
Ausztria	Ausztria
Randomizált	Randomizált
értékelték	értékelték
háromhetente	három+hÉt(ente)
Aranesp-	Aranesp-
vörösvértest-	vörös+vértest-
csökkentésére	csökkentésére
kemoterápiás	kemo+terápiÁ|s
Boehringer	Boehringer
Ingelheim	Ingelheim
Exelon-	Exelon-
közepesen	közepesen
Alzheimer-	Alzheimer-
Rheumocam-	Rheumocam-
keverve	keverve
változhat	változhat
Humalog	Humalog
részesült	részesült
kétszeri	kétszeri
Flexase	Flexase
dialíziskezelésre	dialízis+kezelés(re)
előírásokat	elő+írás(okat)
időnként	időnként
módosítani	módosítani
karbamid	karbamid
kreatinin	kreatinin
káliumszintek	kálium+szint(ek)
tartása	tartása
emellett	emellett
szérumszintek	szérum+szint(ek)
metforminnal	metforminnal
Retacrit	Retacrit
dialíziskezelés	dialízis+kezelés
izoenzimek	izoenzimek
csökkenthetik	csökkenthetik
vardenafil	vardenafil
hatékonysági	hatékonysági
kombinációnak	kombinációnak
kapcsolatosan	kapcsolatosan
bizonyultak	bizonyultak
indokoltnak	indokoltnak
tenofovir-	tenofovir-
dizoproxil-	dizoproxil-
prodrug	prodrug
fumarátsója	fumarát+só(ja)
visszahúzódó	visszahúzódó
alkoholos	alkoholos
törlőkendő	törÖl|ő+kendő
szildenafil	szildenafil
halláscsökkenést	hallás+csökkenés(t)
süketség	süketség
jelentették	jelentették
hozatalt	hozatalt
színűek	színűek
kódjelzéssel	kód+jelzés(sel)
Pegasys	Pegasys
dyspnoea	dyspnoea
bronchoconstrictio	bronchoconstrictio
impotencia	impotencia
angioödéma	angioödéma
többségében	többségében
Firazyr-	Firazyr-
Beszámoltak	Beszámoltak
hallucinációkról	hallucinációkról
hallucináció	hallucináció
antidepresszánsok	anti+depresszáns(ok)
esetleges	esetleges
zárható	zárható
vizelet-	vizelet-
inkontinenecia	inkontinenecia
vizeletretenció	vizeletretenció
"jelöléssel	"jelöléssel
logojával	logojával
atorvastatin	atorvastatin
ARICLAIM	ARICLAIM
hiányoznak	hiányoznak
Oxyglobin	Oxyglobin
ártalmatlanságát	ártalmatlanságát
hatékonyságát	hatékonyságát
thrombocytopeniás	thrombocytopeniás
kutyákban	kutyákban
fennállása	fennállása
oliguria	oliguria
stádiumú	stádiumú
szívbetegség	szív+betegség
Aflunov	Aflunov
világméretű	világ+méret|ű
járványt	járványt
megelőző	megelőző
vakcina	vakcina
emlődaganat	emlő+daganat
Docetaxel	Docetaxel
önmagában	ön+magÁ(ban)
Hagyományos	Hagyományos
karcinogenitási	karcinogenitási
vizsgálatot	vizsgálatot
acetát-	acetát-
dihidráttal	dihidráttal
folytattak	folytattak
ketoacidózist	ketoacidózist
kezelnie	kezelnie
antiretrovirális	antiretrovirális
együttes	együttes
támogató	támogató
gondoljon	gondoljon
számláló	számláló
NEOPHARMA-	NEOPHARMA-
ronthatja	ronthatja
Parkinson-	Parkinson-
tüneteit	tüneteit
bekövetkezik	bekövetkezik
urátkristályok	urát+kristály(ok)
képződnek	képződnek
ízületekben	ízületekben
vesékben	vesékben
gyűjtődoboz	gyűjt|ő+doboz
tartalma	tartalma
leggyakrabban	leggyakrabban
jelentett	jelentett
gastrointestinalis	gastrointestinalis
jellegűek	jellegűek
Tredaptive	Tredaptive
használatához	használatához
mellékhatást	mellék+hatás(t)
betegtájékoztatót	beteg+tájékoztató(t)
szemmel	szemmel
változásokat	változásokat
készítményben	készítményben
BioMarin	BioMarin
Vectibix	Vectibix
antimikrobás	antimikrobás
konzerválószert	konzervál|ó+szer(t)
bakteriosztatikus	bakteriosztatikus
májkárosodásban	máj+károsodás(ban)
Minthogy	Minthogy
alapbetegséggel	alap+betegség(gel)
nagyszámú	nagy+szám|ú
esemény	esemény
jelentkezik	jelentkezik
okozati	okozati
kapcsolat	kapcsolat
razburikáz	razburikáz
Extavia	Extavia
oldószer	old|ó+szer
Telzirrel	Telzirrel
alapvető	alap+vet|ő
fontosságú	fontosságú
ritonavirrel	ritonavirrel
fozamprenavirt	fozamprenavirt
bőrkiütések	bőr+kiütés(ek)
fokozódott	fokozódott
szulfonamid	szulfonamid
allergiája	allergiája
azokhoz	azokhoz
allergiásak	allergiásak
szulfonamidokra	szulfonamidokra
célállat	cél+állat
fajokra	fajokra
embryo/	embryo/
foetalis	foetalis
fejlődési	fejlődési
patkányokban	patkányokban
egerekben	egerekben
szokásos	szokásos
szorosa	szorosa
Optison	Optison
ribavirinnel	ribavirinnel
adagokkal	adagokkal
vizsgálják	vizsgálják
Vékonybél-	vékony+bél+
elzáródás	elzáródás
azoknak	azoknak
húgysavszintje	húgy+sav+szint(je)
Radiogyógyszerészeti	radio+gyógy+szer+(észeti)
prekurzor	prekurzor
Betegeken	Betegeken
Ampullen	Ampullen
Amprenavir	Amprenavir
Indinavir	Indinavir
adagbeállítót	adag+beállító(t)
forgatni	forgatni
MabThera	MabThera
étkezések	étkezések
bevehető	bevehető
abbahagyathatja	abbahagyathatja
topotekánt	topotekánt
szerekkel	szerekkel
kombinálják	kombinálják
gyógyszerkészítmény	gyógy+szer+készítmény
adagját	adagját
esetleg	esetleg
javítása	javítása
szoptasson	szoptasson
Glivec-	Glivec-
szemben	szemben
kórossá	kórossá
megromlott	megromlott
látásról	látásról
megváltozott	megváltozott
látótérről	látó+tér(ről)
üvegtesti	üveg+test|i
vérzésről	vérzésről
retinaleválásról	retina+leválás(ról)
chorioidea	chorioidea
megszűnt	megszűnt
vérellátásáról	vér+ellátás(áról)
kreatinin-	kreatinin-
közepes	közepes
mértékű	mértékű
emelkedéséről	emelkedéséről
hypophosphataemiáról	hypophosphataemiáról
karnitin-	karnitin-
Kinzalkomb	Kinzalkomb
hatóanyagot	ható+anyag(ot)
telmizartánt	telmizartánt
hidroklorotiazidot	hidroklorotiazidot
Revlimid	Revlimid
készülékben	készülékben
üvegfecskendő	üveg+fecskendő
kompatibilitását	kompatibilitását
biztonságosság	biztonságosság
májkárosodást	máj+károsodás(t)
Közölje	Közölje
veseátültetésen	vese+átültetés(en)
veseartéria-	vese+artéria+
szűkületben	szűkület(ben)
szenved	szenved
Olanzapine	Olanzapine
Neopharma-	Neopharma-
Tarceva	Tarceva
vesebetegségben	vese+betegség(ben)
Tárolás	Tárolás
Lokális	Lokális
szemészeti	szemészeti
brinzolamid	brinzolamid
bekerül	bekerül
keringésbe	keringésbe
Viraferon-	Viraferon-
vérnyomáscsökkenés	vérnyomás+csökkenés
elkerülése	elkerülése
megszokottnál	megszokottnál
forgatásával	forgatásával
állítson	állítson
egységet	egységet
Quicklet	Quicklet
Tabletten	Tabletten
CSOMAGOLÁSI	CSOMAGOLÁSI
EGYSÉGEKEN	EGYSÉGEKEN
AMPULLA	AMPULLA
nukleozid-	nukleozid-
függeszteni	függeszteni
tünetekkel	tünetekkel
hyperlactatemia	hyperlactatemia
metabolikus/	metabolikus/
tejsavas	tej+sav(as)
acidosis	acidosis
progresszív	progresszív
hepatomegalia	hepatomegalia
aminotranszferáz-	aminotranszferáz-
Mikrokristályos	mikro+kristály(os)
cellulóz	cellulóz
Povidon	Povidon
Kroszkarmellóz-	Kroszkarmellóz-
Magnézium-	Magnézium-
sztearát	sztearát
methemoglobinszint	methemoglobinszint
következtében	következtében
Addenda	Addenda
Shakespeare	Shakespeare
Gyógyszerek	gyógy+szer(ek)
együttadás	együtt+adás
amprenavir	amprenavir
koncentrációját	koncentrációját
felborítja	felborítja
életben	életben
folyamatokat	folyamatokat
elpusztítja	elpusztítja
baktériumot	baktériumot
ganirelixet	ganirelixet
oldatban	oldatban
Foszfát	Foszfát
kórosak	kórosak
Tracleer-	Tracleer-
felfüggesztése	felfüggesztése
feltárása	feltárása
elvégzése	elvégzése
dönthet	dönthet
szérumszintjének	szérum+szint(jének)
reverzibilis	reverzibilis
fokozódásáról	fokozódásáról
Simulect-	Simulect-
szukcinil-	szukcinil-
porfirinszintézist	porfirinszintézist
aminolevulinsav	aminolevulinsav
felhalmozódásához	felhalmozódásához
betegekéhez	betegekéhez
expozíciós	expozíciós
szinteken	szinteken
jelentkeztek	jelentkeztek
reverzíbilisnek	reverzíbilisnek
mutatkoztak	mutatkoztak
Azoknak	Azoknak
laesióknak	laesióknak
gyógyultnak	gyógyultnak
minősített	minősített
szünteti	szünteti
fertőzést	fertőzést
szervezetükben	szervezetükben
kialakulhatnak	kialakulhatnak
fertőzések	fertőzések
szövődményei	szövődményei
Novartis	Novartis
Sverige	Sverige
Svédország	Svéd+ország
állapították	állapították
hidantoinok	hidantoinok
barbiturátok	barbiturátok
primidon	primidon
karbamazepin	karbamazepin
rifampicin	rifampicin
gyanítható	gyanítható
Ferriprox	Ferriprox
Alkalmanként	Alkalmanként
sebkimetszés	seb+kimetszés
ritkább	ritkább
bőrátültetés	bőr+átültetés
hónapot	hónapot
segédanyagok	segéd+anyag(ok)
listáját	listáját
somnolentia	somnolentia
insomnia	insomnia
nystagmus	nystagmus
meghatározza	meghatározza
Felkészülés	Felkészülés
injekciózásra	injekciózásra
diabéteszes	diabéteszes
szekunder	szekunder
végpontok	vég+pont(ok)
ALKALMAZNI	ALKALMAZNI
NEUPOPEG-	NEUPOPEG-
késleltetett	késleltetett
hypercalcaemia	hypercalcaemia
ZYPREXA	ZYPREXA
dobozonként	dobozonként
emberekre	emberekre
elkerülhetetlen	elkerülhetetlen
betegnek	betegnek
izomrendszer	izom+rendszer
kötőszövet	kötő+szövet
filmtablettát	film+tablettÁ(t)
dobozban	dobozban
patronnal	patronnal
autoinjektor	autoinjektor
Kezelőorvosa	kezel|ő+orvos(a)
Evoltrát	Evoltrát
Tamiflu	Tamiflu
buborékfólia	buborék+fólia
évesnél	évesnél
rendszerint	rendszerint
hatásos	hatásos
titráltak	titráltak
előfordultak	előfordultak
májfunkcióra	máj+funkció(ra)
májenzimek	máj+enzim(ek)
szintjének	szintjének
értékének	értékének
emelkedésével	emelkedésével
információkat	információkat
gyűjteni	gyűjteni
járvány	járvány
biztonságosságáról	biztonságosságáról
hatékonyságáról	hatékonyságáról
értékelésre	értékelésre
benyújtják	benyújtják
Cardiomyopathia	Cardiomyopathia
pericarditis	pericarditis
öninjekciózással	ön+injekciózás(sal)
motivált	motivált
kioktatott	kioktatott
szakértő	szak+ért|ő
segítséget	segítséget
végezhetik	végezhetik
vesebeteg	vese+beteg
Epoetin	Epoetin
megkapja	megkapja
talidomid	talidomid
születési	születési
rendellenességeket	rend+ellenesség(eket)
magzati	magzati
rendellenességet	rend+ellenesség(et)
magzatban	magzatban
rendellenességek	rend+ellenesség(ek)
megrövidülése	megrövidülése
lábfejek	láb+fej(ek)
torzulása	torzulása
rendellenessége	rend+ellenesség(e)
szervekkel	szervekkel
múlásával	múlásával
infúzióval	infúzióval
Élettani	élet+tan|i
vérszintje	vér+szint(je)
sötétedés	sötétedés
beállta	beállta
csúcsértéket	csúcs+érték(et)
éjszaka	éjszaka
közepén	közepén
elősegítve	elősegítve
Couvreur	Couvreur
Rijksweg	Rijksweg
testtája	test+táj(a)
interferonok	interferonok
molekulasúlya	molekula+súly(a)
Oldathoz	Oldathoz
egyadagos	egy+adag(os)
fertőtlenítő	fertőtlenítő
törlőkendőt	törlő+kendő(t)
Kombináció	Kombináció
pioglitazonnal	pioglitazonnal
gliburiddal	gliburiddal
antidiabetikumokkal	antidiabetikumokkal
releváns	releváns
interakciókat	interakciókat
férfiakkal	férfiakkal
nikotinurin-	nikotinurin-
figyelhető	figyelhető
Májkárosodás	máj+károsodás
cirrhosisban	cirrhosisban
paraméterei	paraméterei
módosulnak	módosulnak
gyártási	gyártási
felszabadításáért	felszabadításáért
felelős	felelős
jogosult	jogosult
Laboratory	Laboratory
'Aviation	'Aviation
gondosan	gondosan
monitorozni	monitorozni
Zonegran	Zonegran
szubsztrátok	szubsztrátok
szükségletnek	szükségletnek
memantin	memantin
gátolta	gátolta
enzimeket	enzimeket
tartalmú	tartalmú
monoxigenázt	monoxigenázt
epoxid-	epoxid-
hidrolázt	hidrolázt
szulfatálást	szulfatálást
efavirenzzel	efavirenzzel
abbahagynia	abbahagynia
percnek	percnek
Fogamzóképes	fogamz|ó+képes
Osigraft-	Osigraft-
folytatott	folytatott
tájékoztassák	tájékoztassák
sebészüket	sebészüket
lehetőségéről	lehetőségéről
Gyógyszerforma	gyógyszer+forma
színtelen	színtelen
rekeszre	rekeszre
osztott	osztott
dózistoxicitási	dózistoxicitási
genotoxicitási	genotoxicitási
vizsgálatokból	vizsgálatokból
származó	származó
jellegű	jellegű
igazolták	igazolták
emtricitabin	emtricitabin
veszélyt	veszélyt
EVICEL-	EVICEL-
képzett	képzett
állítaná	állítaná
vérzést	vérzést
második	második
felvitelére	felvitelére
kerülhet	kerülhet
Vizsgálták	Vizsgálták
felszívódásának	felszívódásának
mértékét	mértékét
májműködés	máj+működés
csökkenése	csökkenése
inzulinkezelésre	inzulin+kezelés(re)
glukodinámiás	glukodinámiás
választ	választ
mindegyike	mindegyike
alábbiakat	alábbiakat
tartalmazza	tartalmazza
Szédülés	Szédülés
Perifériás	Perifériás
hypaesthesia	hypaesthesia
ischias	ischias
értékelni	értékelni
fontolni	fontolni
Kombinációs	Kombinációs
morfinnal	morfinnal
placebónál	placebónál
tüneteinek	tüneteinek
szenzitivitás	szenzitivitás
következményeként	következményeként
pioglitazont	pioglitazont
terápiában	terápiában
dózisfügg	dózisfügg
hypoglykaemia	hypoglykaemia
veszélyeztetheti	veszélyeztetheti
szükségessé	szükségessé
magyarázható	magyarázható
mérlegelni	mérlegelni
Zonegran-	Zonegran-
Erbitux	Erbitux
ilyenkor	ilyenkor
állítani	állítani
monoterápiaként	mono+terápia(ként)
kombinált	kombinált
Hepsera	Hepsera
kapcsolódóan	kapcsolódóan
VELCADE-	VELCADE-
vörösvértestek	vörös+vér+test(ek)
fehérvérsejtek	fehér+vér+sejt(ek)
vérlemezke	vér+lemezke
számának	számának
április	április
Dukoral	Dukoral
szakember	szak+ember
tréning	tréning
Aprepitant	Aprepitant
INSUMAN	INSUMAN
Átmeneti	Átmeneti
influenzaszerű	influenzaszerű
tüneteket	tüneteket
Bondenza	Bondenza
jellemzően	jellemzően
beadásakor	beadásakor
előfordul	előfordul
gépjárművezetéskor	gép+jármű+vezetés(kor)
üzemeltetésekor	üzemeltetésekor
éjszakai	éjszakai
vezetéskor	vezetéskor
fényerősség	fény+erősség
változására	változására
számítani	számítani
Irányelvként	irány+elv(ként)
Rebetol-	Rebetol-
kiindulási	kiindulási
fogadhatók	fogadhatók
kórházba	kór+ház(ba)
szakszerű	szak+szer|ű
bőralatti	bőr+alatt|i
hyperhidrosis	hyperhidrosis
INVANZ-	INVANZ-
szoptathatnak	szoptathatnak
kiválasztódik	kiválasztódik
Twinrix	Twinrix
kivédi-	kivédi-
megbetegedést	megbetegedést
ADROVANCE-	ADROVANCE-
szánták	szánták
csillapíthatatlan	csillapíthatatlan
véraláfutása	vér+alá+futás(a)
könnyen	könnyen
sápadtnak	sápadtnak
Cialis-	Cialis-
hozzájárult	hozzá+járul(t)
tudományos	tudományos
adatait	adatait
Tadalafil	Tadalafil
felhasználják	felhasználják
CÍMKESZÖVEG	címke+szöveg
orrspray	orr+spray
nagyobbrészt	nagy+(obb)+rész(t)
fehéres	fehéres
adagjelző	adag+jelző
ablakkal	ablakkal
világoskék	világos+kék
hajtókarral	hajtó+kar(ral)
tömítést	tömítést
kupakkal	kupakkal
műanyag	műanyag
Blepharospasmus	Blepharospasmus
összefüggésben	összefüggésben
tényére	tényére
vizsgálatvezető	vizsgálat+vezető
legalábbis	legalábbis
esetlegesen	esetlegesen
kapcsolatosnak	kapcsolatosnak
tekinti	tekinti
vizsgálatokkal	vizsgálatokkal
óránként	óránként
mennyiségét	mennyiségét
kiszámítani	kiszámítani
emissziók	emissziók
energiái	energiái
szerepelnek	szerepelnek
felsorolásban	felsorolásban
bétarészecske	béta+részecske
energiája	energiája
biomarinno@	biomarinno@
szövetközti	szövet+közti
keresztreaktivitását	kereszt+reaktivitás(át)
szövetből	szövetből
panelhez	panelhez
kötődésének	kötődésének
értékelésével	értékelésével
húgysav-	húgy+sav+
ellenőrzése	ellen+őrzés(e)
glükuronidizációt	glükuronidizációt
erőteljesen	erőteljesen
indukáló	indukáló
bevezetése	bevezetése
testében	testében
depreotid	depreotid
magától	magától
elveszti	elveszti
radioaktivitását	radio+aktivitás(át)
fájdalmat	fájdalmat
duzzanatot	duzzanatot
izületbe	izületbe
Belsőleges	Belsőleges
liofilizátum	liofilizátum
